time,prcp,temp,tempmax,tempmin,hurs,rsds,gradient
2019-05-28,0.0,2.1392822,8.612732,-6.181427,71.51511,351.28635,-0.006099779
2019-05-29,0.0,2.2721252,9.662415,-6.4772034,71.80288,378.85977,-0.006099779
2019-05-30,0.0,2.488739,10.495056,-5.25531,66.08639,382.9324,-0.006099779
2019-05-31,0.0,4.894623,12.3089905,-3.69693,54.14731,380.1977,-0.006099779
2019-06-01,0.0,7.107849,12.883972,-0.14578247,60.8255,375.0676,-0.005256259
2019-06-02,0.0,7.4111023,12.862671,-0.16171265,68.26677,363.7509,-0.005256259
2019-06-03,0.0,7.242096,11.826294,2.2634583,84.646286,347.57922,-0.005256259
2019-06-04,0.0,6.25235,10.803436,-0.2735901,85.99534,331.38766,-0.005256259
2019-06-05,0.0,5.831726,12.50885,-0.1795044,78.107864,348.40564,-0.005256259
2019-06-06,0.0,5.2019653,10.604004,0.21017456,79.27896,352.53586,-0.005256259
2019-06-07,0.0,5.9393005,11.75119,0.6598511,81.818825,358.4006,-0.005256259
2019-06-08,0.0,6.4596252,11.860687,1.0079956,80.97279,338.3514,-0.005256259
2019-06-09,0.0,6.553192,12.250427,-1.2640381,81.34402,346.84103,-0.005256259
2019-06-10,0.0,6.8865967,13.792236,-1.225647,80.59154,366.48807,-0.005256259
2019-06-11,0.0,8.441284,13.16864,2.4857178,84.499054,338.08987,-0.005256259
2019-06-12,0.0,9.495178,14.41507,2.9541016,77.2219,298.83817,-0.005256259
2019-06-13,0.0,7.833191,13.322937,1.6054077,74.793015,364.76978,-0.005256259
2019-06-14,0.0,6.9888306,12.580292,0.533905,76.79787,362.91016,-0.005256259
2019-06-15,0.0,7.2983093,11.328125,-0.21737671,79.13956,357.33917,-0.005256259
2019-06-16,0.0,7.9523926,13.121674,0.3536377,75.30403,356.5641,-0.005256259
2019-06-17,0.0,5.4882507,11.963562,0.4282837,71.74878,345.5382,-0.005256259
2019-06-18,0.0,5.6015015,12.642029,-1.8736572,70.213715,364.79297,-0.005256259
2019-06-19,0.0,4.8274536,11.972656,-2.1426086,71.17442,364.70792,-0.005256259
2019-06-20,0.0,6.6714783,11.936768,-2.179016,73.37596,343.1642,-0.005256259
2019-06-21,0.0,8.303864,13.398895,2.4019165,76.80662,335.94113,-0.005256259
2019-06-22,0.0,8.231171,14.233887,2.5312805,78.19621,325.23532,-0.005256259
2019-06-23,0.0,8.426422,12.992035,3.6725464,79.75532,334.72607,-0.005256259
2019-06-24,0.0,10.891388,14.476044,5.5061646,84.85279,248.17374,-0.005256259
2019-06-25,0.0,11.028717,15.110352,7.538574,90.746284,226.14221,-0.005256259
2019-06-26,0.0,9.696259,13.411255,4.5628357,83.95079,347.95663,-0.005256259
2019-06-27,0.0,8.864258,13.509155,4.460266,74.79305,352.48102,-0.005256259
